school_name,state,website,staff_directory
butler high school,ohio,https://butler.vbcsd.com/,https://butler.vbcsd.com/school-info/staff-directory
big valley christian school,california,https://bvcs.org/,https://bvcs.org/about/bvcs-staff/
grapevine colleyville collegiate academy at tcc ne,texas,https://ca.gcisd.net/,http://www.gcisd.net/staff
nimo leadership charter high school,california,https://ca.greendot.org/leadership/,https://ca.greendot.org/leadership/our-team/
alain leroy locke college preparatory academy,california,https://ca.greendot.org/locke/,https://ca.greendot.org/locke/our-team/
animo pat brown charter high school,california,https://ca.greendot.org/patbrown/,https://ca.greendot.org/patbrown/our-team/
animo ralph bunche high school,california,https://ca.greendot.org/ralphbunche/,https://ca.greendot.org/ralphbunche/our-team/
animo south los angeles charter,california,https://ca.greendot.org/southla/students-families/,https://ca.greendot.org/southla/our-team/
animo venice charter high school,california,https://ca.greendot.org/venice/,https://ca.greendot.org/venice/our-team/
animo watts college preparatory academy,california,https://ca.greendot.org/watts/,https://ca.greendot.org/watts/our-team/
calloway cab school of the arts,delaware,https://cabcallowayschool.org/,https://cabcallowayschool.org/directory/staff-directory/
cabrillo high,california,https://cabrillohighschool.lusd.org/,https://cabrillohighschool.lusd.org/staff/staff-directory
erwin high school,north carolina,https://caehs.buncombeschools.org/,https://caehs.buncombeschools.org/o/caehs/page/administration-and-other-staff
crater academy of health and public services,oregon,https://cahps.district6.org/,https://cahps.district6.org/about/staff-directory/
crooms academy of information technology,florida,https://cait.scps.k12.fl.us/,https://cait.scps.k12.fl.us/our_school/staff
calvary schools of holland,michigan,https://calvaryschoolsholland.org/,https://calvaryschoolsholland.org/communication/staff/
cam academy,washington,https://cam.battlegroundps.org/,https://cam.battlegroundps.org/staffs-staff/
cambridge continuation high school,california,https://cambridge.fresnounified.org/,https://cambridge.fresnounified.org/staff/
canton academy,mississippi,https://cantonacademy.org/,https://cantonacademy.org/about-us/faculty-and-staff/
cardinal high school,ohio,https://cardinalschools.org/chs/,https://cardinalschools.org/staff/
carlisle school,virginia,https://carlisleschool.org/,https://carlisleschool.org/about-us/faculty/
cheboygan area high school,michigan,https://cashs.chebschools.org/,https://cashs.chebschools.org/apps/staff/
castle hills first baptist school,texas,https://castlehills.school/,https://castlehills.school/faculty-and-staff/
cast tech high school,texas,https://castschools.com/cast-tech/,https://castschools.com/about/leadership/leadership-team/
charles a tindley accelerated school,indiana,https://catas.tindley.org/,https://catas.tindley.org/apps/staff/
cathedral academy,south carolina,https://cathedralacademy.com/,https://cathedralacademy.com/staff-directory/
cedar bluff high school,alabama,https://cb.cherokeek12.org/,https://cb.cherokeek12.org/en-US/staff
cherokee bluff high school,georgia,https://cbhs.hallco.org/web/,http://teachersites.hallco.org/public_profiles?accounts%5B%5D=71
churchill county high school,nevada,https://cchs.churchillcsd.com/,https://cchs.churchillcsd.com/en-US/staff
crisp county high school,georgia,https://cchs.crispschools.org/,https://cchs.crispschools.org/o/cchs/staff
cumberland county high school,kentucky,https://cchs.cumberland.kyschools.us/,https://cchs.cumberland.kyschools.us/cchs-find-it-fast/staff-directory
central catholic high school,west virginia,https://cchsknights.org/,https://cchsknights.org/about-us/faculty-staff/
caroline high school,virginia,https://ccps.us/caroline-high-school,https://ccps.us/staff-directory
career academy and technical school,north carolina,https://cctl.issnc.org/,https://cctl.issnc.org/about-us/faculty-staff-directory
central davidson high school,north carolina,https://cdhs.davidson.k12.nc.us/,https://cdhs.davidson.k12.nc.us/apps/staff/
corona del mar high school,california,https://cdm.nmusd.us/,https://cdm.nmusd.us/cdmhs/counseling/staff-directory
ce byrd high school,louisiana,https://cebyrd.com/,https://cebyrd.com/faculty-staff/
career education center early college,colorado,https://cecdenver.dpsk12.org/,https://cecdenver.dpsk12.org/faculty-staff/directory/
oakland craig junior senior high,nebraska,https://cechs.clevelandcountyschools.org/,https://cechs.clevelandcountyschools.org/faculty/support_staff
cleveland echs,north carolina,https://cechs.clevelandcountyschools.org/,https://cechs.clevelandcountyschools.org/faculty/support_staff
centaurus high school,colorado,https://ceh.bvsd.org/,https://www.bvsd.org/connect-with-us/staff-directory
the center school,washington,https://centerhs.seattleschools.org/,https://centerhs.seattleschools.org/staff/
colorados finest alternative high school,colorado,https://cfhsc.englewoodschools.net/,https://cfhsc.englewoodschools.net/about/staff-directory
cherokee county high school,alabama,https://ch.cherokeek12.org/,https://ch.cherokeek12.org/en-US/staff
randolph henry high school,virginia,https://charlottehenry.ss12.sharpschool.com/,https://charlottehenry.ss12.sharpschool.com/academics/staff_directory/staff_directory
cypress hills collegiate preparatory school,new york,https://chcpschool.org/,https://chcpschool.org/staff/
chapel hill high school,georgia,https://chhs.dcssga.org/,https://chhs.dcssga.org/about/facultyandstaff
chief sealth international high school,washington,https://chiefsealthhs.seattleschools.org/,https://chiefsealthhs.seattleschools.org/staff/
manistee high school,michigan,https://chipslead.org/manistee-middle-high-school/,https://chipslead.org/staff/
chicago technology academy high school,illinois,https://chitech.org/,https://chitech.org/faculty-staff/
san juan choices charter,california,https://choicescharter.org/,https://choicescharter.org/who-are-you/our-staff/
cholla high school,arizona,https://chollahs.tusd1.org/,https://chollahs.tusd1.org/SchoolStaff
chavezhuerta k 12 preparatory academy,colorado,https://chpa-k12.org/,https://chpa-k12.org/staff/
christian county high school,kentucky,https://christiancountyhigh.christian.kyschools.us/,https://christiancountyhigh.christian.kyschools.us/schoolstaff
christ lutheran high school,illinois,https://christlutheranbuckley.com,https://christlutheranbuckley.com/staff
churchill high school,oregon,https://chs.4j.lane.edu/,https://chs.4j.lane.edu/staff-directory/
commerce high school,texas,https://chs.commerceisd.org/,https://chs.commerceisd.org/about-us/directory
community high school,texas,https://chs.communityisd.org/,https://chs.communityisd.org/staff-directory
corinth high school,mississippi,https://chs.corinth.k12.ms.us/,https://chs.corinth.k12.ms.us/directory
corvallis high school,oregon,https://chs.csd509j.net/,https://chs.csd509j.net/about/staff-directory/
chequamegon high school,wisconsin,https://chs.csdk12.net/,https://chs.csdk12.net/about-us/chs-staff-directory
carpinteria senior high,california,https://chs.cusd.net,https://chs.cusd.net/staff
charlestown senior high school,indiana,https://chs.gccschools.com/,https://chs.gccschools.com/home/about/staff/
christopher high school,california,https://chs.gilroyunified.org/,https://chs.gilroyunified.org/our-staff
centennial high school,maryland,https://chs.hcpss.org/,https://chs.hcpss.org/school-staff
capital high school,montana,https://chs.helenaschools.org/,https://chs.helenaschools.org/staff-directory/
cedar city high school,utah,https://chs.irondistrict.org/,https://chs.irondistrict.org/o/chs/staff
muncie central high school,indiana,https://chs.muncie.k12.in.us/,https://www.muncie.k12.in.us/about-us/staff-directory
churchland high school,virginia,https://chs.ppsk12.us/,https://chs.ppsk12.us/about_us/staff_directory
robbinsdale cooper senior high school,minnesota,https://chs.rdale.org/,https://chs.rdale.org/discover/staff-directory
castlewood high,virginia,https://chs.russell.k12.va.us/,https://chs.russell.k12.va.us/faculty-staff
fort kent community high school,maine,https://chs.sad27.org/en-US,https://sad27.org/en-US/staff
cecilia high school,louisiana,https://chs.saintmartinschools.org/,https://chs.saintmartinschools.org/about/directory
concord high school,new hampshire,https://chs.sau8.org/,https://www.chs.sau8.org/staff-directory-769d83e6
central high school,virginia,https://chs.shenandoah.k12.va.us/,https://chs.shenandoah.k12.va.us/en-US/staff
chipley high school,florida,https://chs.wcsdschools.com/,https://chs.wcsdschools.com/staff
cranston high school east,rhode island,https://chse.cpsed.net/,https://chse.cpsed.net/apps/staff/
great hearts academies cicero prep,arizona,https://ciceroprep.greatheartsamerica.org/,https://ciceroprep.greatheartsamerica.org/faculty-staff/
city honors school at fosdick masten park,new york,https://cityhonors.org/,https://cityhonors.org/about/faculty-staff-directory/
civic memorial high school,illinois,https://civicmemorial.bethalto.org/,https://civicmemorial.bethalto.org/directory.html
high school for civil rights,new york,https://civilrightshs.org/,https://civilrightshs.org/faculty/
clarksville high school,tennessee,https://clarksvillehigh.cmcss.net/,https://clarksvillehigh.cmcss.net/directory
classical preparatory school,florida,https://classicalprep.org/,https://classicalprep.org/faculty-and-staff/
clayton high school,new jersey,https://claytonps.org/clayton-high-school/,https://claytonps.org/staff-resources/
clear brook high school,texas,https://clearbrook.ccisd.net/home,https://www.ccisd.net/employees
cleveland high school,washington,https://clevelandhs.seattleschools.org/,https://clevelandhs.seattleschools.org/staff
center line high school,michigan,https://clhs.clps.org/,https://clhs.clps.org/apps/staff/
memorial high school,ohio,https://cmhs.campbell.k12.oh.us/,https://cmhs.campbell.k12.oh.us/about-us/staff-directory
cheyenne mountain high school,colorado,https://cmhs.cmsd12.org/,https://cmhs.cmsd12.org/o/cmhs/staff
central mountain high school,pennsylvania,https://cmhs.kcsd.us/,https://cmhs.kcsd.us/about/directory
chesapeake math and it public charter,maryland,https://cmitacademy.org/highschool/,https://hs.cmitacademy.org/about-us/staff-directory/
chesapeake math and it south public charter,maryland,https://cmitsouth.org/,https://cmitsouth.org/about-us/staff-directory/
clovis north high school,california,https://cnec.cusd.com/,https://cnec.cusd.com/Staff.aspx
chanhassen high school,minnesota,https://cns.district112.org/,https://cns.district112.org/our-school/staff-directory
coal ridge high school,colorado,https://coalridgetitans.garfieldre2.net/,https://coalridgetitans.garfieldre2.net/our_school/front_office_staff
college park academy,maryland,https://collegeparkacademy.net/,https://collegeparkacademy.net/cpa-staff/
columbia high school,washington,https://columbia.wsvsd.org/,https://columbia.wsvsd.org/o/columbia/staff
